         n,            x ,         t,                    s,     Pk,     k,    epsilon 
     248       0  0.24800000E+00  0.00000000E+00  0.47745319E-04  0.59636503E-02  0.27480472E-02
     249       0  0.24900000E+00  0.00000000E+00  0.47745319E-04  0.59628946E-02  0.27456747E-02
     250       0  0.25000000E+00  0.00000000E+00  0.47745319E-04  0.59621389E-02  0.27433022E-02
     251       0  0.25100000E+00  0.00000000E+00  0.47745319E-04  0.59613832E-02  0.27409298E-02
     252       0  0.25200000E+00  0.00000000E+00  0.47745319E-04  0.59606275E-02  0.27385573E-02
     253       0  0.25300000E+00  0.00000000E+00  0.47745319E-04  0.59598718E-02  0.27361848E-02
     254       0  0.25400000E+00  0.00000000E+00  0.47745319E-04  0.59591160E-02  0.27338124E-02
     255       0  0.25500000E+00  0.00000000E+00  0.47745319E-04  0.59583603E-02  0.27314399E-02
     256       0  0.25600000E+00  0.00000000E+00  0.47745319E-04  0.59576046E-02  0.27290674E-02
     257       0  0.25700000E+00  0.00000000E+00  0.47745319E-04  0.59568489E-02  0.27266950E-02
     258       0  0.25800000E+00  0.00000000E+00  0.47745319E-04  0.59560932E-02  0.27243225E-02
     259       0  0.25900000E+00  0.00000000E+00  0.47745319E-04  0.59553375E-02  0.27219500E-02
     260       0  0.26000000E+00  0.00000000E+00  0.47745319E-04  0.59545818E-02  0.27195776E-02
     261       0  0.26100000E+00  0.00000000E+00  0.47745319E-04  0.59538261E-02  0.27172051E-02
     262       0  0.26200000E+00  0.00000000E+00  0.47745319E-04  0.59530703E-02  0.27148326E-02
     263       0  0.26300000E+00  0.00000000E+00  0.47745319E-04  0.59523146E-02  0.27124602E-02
     264       0  0.26400000E+00  0.00000000E+00  0.47745319E-04  0.59515589E-02  0.27100877E-02
     265       0  0.26500000E+00  0.00000000E+00  0.47745319E-04  0.59508032E-02  0.27077152E-02
     266       0  0.26600000E+00  0.00000000E+00  0.47745319E-04  0.59500475E-02  0.27053428E-02
     267       0  0.26700000E+00  0.00000000E+00  0.47745319E-04  0.59492918E-02  0.27029703E-02
     268       0  0.26800000E+00  0.00000000E+00  0.47745319E-04  0.59485361E-02  0.27005978E-02
     269       0  0.26900000E+00  0.00000000E+00  0.47745319E-04  0.59477804E-02  0.26982254E-02
     270       0  0.27000000E+00  0.00000000E+00  0.47745319E-04  0.59470246E-02  0.26958529E-02
     271       0  0.27100000E+00  0.00000000E+00  0.47745319E-04  0.59462689E-02  0.26934805E-02
     272       0  0.27200000E+00  0.00000000E+00  0.47745319E-04  0.59455132E-02  0.26911080E-02
     273       0  0.27300000E+00  0.00000000E+00  0.47745319E-04  0.59447575E-02  0.26887355E-02
     274       0  0.27400000E+00  0.00000000E+00  0.47745319E-04  0.59440018E-02  0.26863631E-02
     275       0  0.27500000E+00  0.00000000E+00  0.47270848E-04  0.59432978E-02  0.26841617E-02
